JAN,NAME,PRICE,URL
,,,https://shop.faber-hobby.jp
2000252001679,1/35 WW2 フォルクスワーゲン 砂漠使用 ホイールセット #1 (タミヤ用),,https://shop.faber-hobby.jp/products/detail.php?product_id=1015412
2000035005481,1/35 レオパルド C2 アップデート/ディテールセット (タコム用),2041,https://shop.faber-hobby.jp/products/detail.php?product_id=1013935
4544032722982,1/700 日本海軍 特二式内火艇カミ フロートあり,505,https://shop.faber-hobby.jp/products/detail.php?product_id=1008054
4544032722975,1/700 日本海軍 特二式内火艇カミ フロートなし,505,https://shop.faber-hobby.jp/products/detail.php?product_id=1008053
4582316554805,1/35 菱形戦車 グローサーセット,2948,https://shop.faber-hobby.jp/products/detail.php?product_id=1000568
4582316554799,1/35 MK.IV タッドポールテール 菱形戦車MK.V/MK.IX 金属製可動履帯,3628,https://shop.faber-hobby.jp/products/detail.php?product_id=1000567
4582316554782,1/35 菱形戦車 マーク II/マークIV 金属製可動履帯,3628,https://shop.faber-hobby.jp/products/detail.php?product_id=1000566
2000035005399,1/35 レオパルド C2(MEXAS) 荷物セット,1088,https://shop.faber-hobby.jp/products/detail.php?product_id=1000009
2000035005382,1/35 レオパルド 1A5DK UN 改造セット (Meng用),1905,https://shop.faber-hobby.jp/products/detail.php?product_id=1000008
2000035005368,1/35 レオパルド 1A5DK1 改造セット (Meng用),2585,https://shop.faber-hobby.jp/products/detail.php?product_id=991928
2000252001457,1/35 US M561 ガマゴート 自重変形タイヤ (タミヤ用),1544,https://shop.faber-hobby.jp/products/detail.php?product_id=991593
2000252001488,1/35 WW2 U.S. M8/M20 グレイハウンド 自重変形タイヤ (タミヤ用),1555,https://shop.faber-hobby.jp/products/detail.php?product_id=991587
2000252001532,1/35 JGSDF Type 10 Main Gun Barrel Set (タミヤ用),1296,https://shop.faber-hobby.jp/products/detail.php?product_id=991585
2000252001303,1/35 イスラエル軍戦車 ティラン 4/5 1973 改造セット (タミヤ用),2916,https://shop.faber-hobby.jp/products/detail.php?product_id=988610
2000035005283,1/35 レオパルド C2 MEXAS アップデートセット (LF1272用),1156,https://shop.faber-hobby.jp/products/detail.php?product_id=986261
2000151004153,1/700 WWII 日本海軍 比叡 木製甲板 (フジミ用),972,https://shop.faber-hobby.jp/products/detail.php?product_id=978317
2000151004146,1/700 WWII 日本海軍 タグボートセット 木製甲板（タミヤ用）,648,https://shop.faber-hobby.jp/products/detail.php?product_id=978316
2000151004139,1/700 WWII USS ニュージャージー BB62 木製甲板 (トランペッター用),972,https://shop.faber-hobby.jp/products/detail.php?product_id=978315
2000151004030,1/700 WWII USS ノースカロライナ 木製甲板 (トランペッター用),972,https://shop.faber-hobby.jp/products/detail.php?product_id=978311
2000151004023,1/700 WWII USS ミズーリ 木製甲板 (トランペッター用),972,https://shop.faber-hobby.jp/products/detail.php?product_id=978310
2000151004009,1/700 WWII 日本海軍 伊勢 木製甲板（ハセガワ用),864,https://shop.faber-hobby.jp/products/detail.php?product_id=978308
4986470045535,1/350 英海軍 23型 フリゲート用エッチングパーツ (トランペッター用),4071,https://shop.faber-hobby.jp/products/detail.php?product_id=917849
4986470045689,1/35 日本海軍 ヴィッカース・クロスレイ M25 エッチングパーツ,1053,https://shop.faber-hobby.jp/products/detail.php?product_id=916934
4986470045672,1/700 中国海軍 江凱 II型 エッチングパーツ,1628,https://shop.faber-hobby.jp/products/detail.php?product_id=915969
2000252001235,1/35 M48A3 ベーシックディテールパーツ(ドラゴン用),1425,https://shop.faber-hobby.jp/products/detail.php?product_id=827001
2000252001143,1/35 Pz.Kpfw.35(t) ディテールアップセット (アカデミー用),1425,https://shop.faber-hobby.jp/products/detail.php?product_id=826999
4967834352285,1/72 F-15J イーグル 小松スペシャル 2015 デカールセット,648,https://shop.faber-hobby.jp/products/detail.php?product_id=728266
4823044403400,1/35 WWI イタリア歩兵 ウェポン &amp; 装備セット,691,https://shop.faber-hobby.jp/products/detail.php?product_id=728192
4967834352254,1/48 F-15J イーグル 204SQ 50周年記念スペシャルペイント,702,https://shop.faber-hobby.jp/products/detail.php?product_id=728186
4967834352223,1/48 F-15J イーグル 航空自衛隊 60周年記念スペシャル デカール パート2,540,https://shop.faber-hobby.jp/products/detail.php?product_id=728175
9580208066318,1/200 アメリカ海軍戦艦 BB-63 ミズーリ用 アップグレードパーツ,1762,https://shop.faber-hobby.jp/products/detail.php?product_id=728014
0707600008701,1/144 ウクライナ 民家,777,https://shop.faber-hobby.jp/products/detail.php?product_id=727974
4544032712686,1/350 中国・WZ-10対戦車ヘリコプター 2機,820,https://shop.faber-hobby.jp/products/detail.php?product_id=727762
4009803058221,1/1200 ドイツ海軍戦艦 テルピッツ,972,https://shop.faber-hobby.jp/products/detail.php?product_id=1173515
4968728610122,1/500 日本海軍 超大和型戦艦 プレミアム,9590,https://shop.faber-hobby.jp/products/detail.php?product_id=1121903
4968728470214,1/700 日本海軍重巡洋艦 摩耶 フルハルモデル,2505,https://shop.faber-hobby.jp/products/detail.php?product_id=1119209
4968728470207,1/700 日本海軍航空戦艦 伊勢 フルハルモデル,2505,https://shop.faber-hobby.jp/products/detail.php?product_id=1119208
4986470057071,1/72 現用米空母タイダウン&amp;デバイスセットB,1836,https://shop.faber-hobby.jp/products/detail.php?product_id=1107596
